date,strategy_nav,csi300_nav,strategy_return,csi300_return,held_count,active_csi300_count,tradable_count
2019-03-13,1.455098103530454,1.1797544815533825,-0.03405706429729146,-0.00829754819131312,14,300,30
2019-03-14,1.4191818514481997,1.1716132137332018,-0.024683045077931034,-0.006900815336985278,13,300,30
2019-03-15,1.4158738987449813,1.1863499023843573,-0.0023308871233401153,0.012578117486571339,12,300,30
2019-03-18,1.4545712050443855,1.220163171253214,0.027331040097359826,0.028501935896734887,14,300,30
2019-03-19,1.4399346241885467,1.2145276511839989,-0.01006247119775211,-0.004618661013532255,14,300,30
2019-03-20,1.4389052946480332,1.2149964675473823,-0.000714844634764963,0.00038600715506675876,14,300,30
2019-03-21,1.4288954441026478,1.2154557828825021,-0.00695657357201801,0.00037803841195271914,9,300,30
2019-03-22,1.4168940288954144,1.2144769542909983,-0.008399085641126323,-0.0008053181409712895,12,300,30
2019-03-25,1.395738909623755,1.1856592963924448,-0.014930629136853446,-0.02372845182177785,9,300,30
2019-03-26,1.351614490498332,1.1722309290239044,-0.031613662713836095,-0.011325654350620273,9,300,30
2019-03-27,1.3742020940741735,1.1858366984045547,0.016711572519108868,0.011606731270927817,7,300,30
2019-03-28,1.40213292503507,1.1810881883958895,0.020325126181468867,-0.004004354069201965,9,300,30
2019-03-29,1.4552525614007576,1.2266857013829786,0.03788487911326883,0.03860635762433451,12,300,30
2019-04-01,1.5026181808606949,1.2588675397814735,0.03254804060564263,0.026234787250077662,13,300,30
2019-04-02,1.5124691792757405,1.2580311523871408,0.006555889274148783,-0.0006643966643844479,14,300,30
2019-04-03,1.531205383266687,1.2741459354972222,0.012387825317484011,0.012809526282002937,16,300,30
2019-04-04,1.5477890410339221,1.2868393092574308,0.010830459420052195,0.00996226052807292,16,300,30
2019-04-08,1.5538166508898645,1.2852554581551705,0.0038943355303227983,-0.0012308072117989122,16,300,30
2019-04-09,1.5450141897855694,1.2910208008683939,-0.005665057778376857,0.00448575625696912,19,300,30
2019-04-10,1.5412121575170754,1.2943216659221721,-0.0024608397085477073,0.0025567868864373455,17,300,30
2019-04-11,1.4873980165884864,1.2663593974744782,-0.0349167638382017,-0.021603801577231185,16,300,30
2019-04-12,1.4719750578253132,1.2635211137342857,-0.010369086546550235,-0.002241294016416706,12,300,30
2019-04-15,1.4723172871760217,1.2593712427330124,0.00023249670494685884,-0.0032843701273883585,11,300,30
2019-04-16,1.5236587232186463,1.2943026638656447,0.03487117653905963,0.027737191343853773,10,300,30
2019-04-17,1.5327744446709481,1.2947619792007645,0.005982784276681907,0.00035487475066142693,14,300,30
2019-04-18,1.537525011282488,1.2899596547741998,0.003099325297375967,-0.0037090403515934733,8,300,30
2019-04-19,1.525974574154384,1.305333060772585,-0.007512357225636063,0.011917741722764275,9,300,30
2019-04-22,1.504579439438083,1.2752388506546728,-0.014020636436984542,-0.023054813382341277,13,300,30
2019-04-23,1.4837565209426467,1.273148030622408,-0.013839693637720538,-0.001639551705307274,8,300,30
2019-04-24,1.4847256771133326,1.2766579182979858,0.0006531773623278114,0.002756857483306119,8,300,30
2019-04-25,1.4366643805004367,1.248695649850292,-0.032370489278759434,-0.021902710230296107,9,300,30
2019-04-26,1.42341627350253,1.2320488091574473,-0.009221434858217926,-0.013331383588018775,9,300,30
2019-04-29,1.404672270278562,1.2355523875564438,-0.013168321574577431,0.0028437009743083053,7,300,30
2019-04-30,1.4239535377506116,1.2396325596081894,0.013726523887473132,0.0033023059910999297,6,300,30
2019-05-06,1.3271397090256494,1.1672194335219732,-0.06798945763209165,-0.05841499202723732,6,300,30
2019-05-07,1.323905389857652,1.1786394468145056,-0.002437060051780071,0.009783947186411623,8,300,30
2019-05-08,1.2902824167498803,1.1617835092730777,-0.025396809594820866,-0.014301182254661704,8,300,30
2019-05-09,1.27728067229051,1.140318385395257,-0.010076665612572519,-0.018476010122790765,7,300,30
2019-05-10,1.3600308992566885,1.1817375242962818,0.0647862515744367,0.03632243365669141,7,300,30
2019-05-13,1.3460700053215031,1.1621858184386158,-0.010265129963455664,-0.016544880276446294,7,300,30
2019-05-14,1.3437125319233691,1.1547160803270373,-0.0017513750316209434,-0.0064273182421155095,7,300,30
2019-05-15,1.3985339154643763,1.1806731864504054,0.040798446273725385,0.022479210747646805,8,300,30
2019-05-16,1.3772273118326603,1.186017292168347,-0.015234956690085913,0.004526320898341263,7,300,30
2019-05-17,1.338057090550846,1.1558596923774884,-0.02844136254435086,-0.02542762233737972,7,300,30
2019-05-20,1.2953598314892054,1.1460489899738915,-0.0319098933544481,-0.00848779697769142,7,300,30
2019-05-21,1.328836266744841,1.1615681031479133,0.025843348266519555,0.013541404695426973,7,300,30
2019-05-22,1.3206802421469153,1.1560560964461255,-0.0061377197492548585,-0.004745315136366002,7,300,30
2019-05-23,1.2892097567883816,1.1353322754532176,-0.023828996871623463,-0.017926310891500652,7,300,30
2019-05-24,1.2948138306336117,1.1384842415796765,0.004346906169241922,0.0027762499090415726,6,300,30
2019-05-27,1.3229699685341194,1.1521977140229092,0.021745317538606868,0.012045377478571595,7,300,30
